StageId	RewardIcon	RewardTitle	RewardQuality
30090602	Assets/Product/Texture/Image/IconToolsSp/EKaiselinI01001Sp.png	2-Piece Set	6
30090603	Assets/Product/Texture/Image/IconToolsSp/EBadunI01001Sp.png	4-Piece Set	6
30090604	Assets/Product/Texture/Image/IconToolsSp/E3A2Md010011P02Sp.png	6★ Weapon	6
30090605	Assets/Product/Texture/Image/IconSkill/R3A2S1.png	SS Skill	6
30090607	Assets/Product/Texture/Image/IconToolsSp/EFeilieteI01001Sp.png	2-Piece Set	6
30090608	Assets/Product/Texture/Image/IconToolsSp/EDafenqiI01001Sp.png	4-Piece Set	6
30090609	Assets/Product/Texture/Image/IconToolsSp/E39SMd010011P02Sp.png	6★ Weapon	6
30090610	Assets/Product/Texture/Image/IconSkill/R39SS1.png	SS Skill	6
30090612	Assets/Product/Texture/Image/IconToolsSp/EDaerwenI01001Sp.png	2-Piece Set	6
30090613	Assets/Product/Texture/Image/IconToolsSp/EBadunI01001Sp.png	4-Piece Set	6
30090614	Assets/Product/Texture/Image/IconToolsSp/E32BMd010011Sp.png	6★ Weapon	6
30090615	Assets/Product/Texture/Image/IconSkill/R32BS1.png	SS Skill	6
30090617	Assets/Product/Texture/Image/IconToolsSp/CloPass02Sp.png	Construct Coating	6
30090618	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease11Sp.png	A2 Ultima	6
30090619	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease11Sp.png	9S Ultima	6
30090620	Assets/Product/Texture/Image/IconToolsSp/IconSkillRelease11Sp.png	2B Ultima	6
